,policy_nr_hashed,cluster
1,0WK7b0X,0
2,2LJgElY,3
15,beaerJG,3
16,dByJ36A,3
19,qvmz8Xv,0
22,zPm2Q6B,3
24,0WKoZZX,0
26,8rZrmz6,3
28,K7wlJmy,0
29,LAwAYxE,3
30,NWEWppj,0
31,NWEaAe7,3
32,OlwWQaA,3
33,R5Wn6qp,0
34,Vqx6q36,3
38,kbdaQog,3
43,0WKaQ05,1
44,0WKaQqp,1
45,2LJ0dne,1
47,6rYAGqG,1
48,70NabY9,1
52,AoZRyLw,1
54,ByZyqOQ,0
55,E7wqJq5,1
56,G2wQnaW,0
57,JBwB5GJ,2
59,K7wL7jx,1
62,LAw5NL8,2
63,LAwRlPY,0
69,R5Wk2al,0
71,Vqx5OAL,1
72,WP0G6ow,1
73,WP0Y3LQ,1
79,a6RBrz5,0
80,a6RkZL2,1
82,beaQ8qg,1
83,beaQanG,0
84,dBy9QoA,0
85,eBOW0KK,1
86,eBOX8X9,1
89,joJGmpJ,0
90,joJK8r2,2
95,kbdayLV,1
100,pjmWooq,0
102,qvmerx9,0
103,rLm7xqY,0
105,vL9beaG,2
106,vL9j6lG,2
110,wRmzvrL,0
111,xaml3lR,1
114,0WKoYJB,0
115,ByZlb0d,1
118,JBw5pLL,0
119,JBwzqRZ,0
121,Olwyanw,2
122,R5WAkA6,2
124,XrPwpVZ,2
125,ZLWqAmz,2
128,joJGZJE,2
131,lrz5jNv,0
132,lrzJEy2,0
133,lrzaXbR,2
134,nAEBW6E,2
135,nAEzeyV,2
142,2LJgq95,0
143,8rZ3y6p,3
145,NWE3kNK,3
149,YvWGqWP,3
153,rLm7eln,0
154,vL9vYvP,3
156,2LJg7eJ,2
157,2LJpPJl,2
158,3Rd92Ey,2
160,3RdbAgL,2
161,70NaaQx,2
162,70NamXx,2
163,8rZ3Nay,2
164,8rZrRYj,2
169,92ZLV9l,2
170,AoZRqqj,2
172,ByZA6mW,2
173,ByZQkr0,2
174,E7w5xL7,2
175,E7wk6QO,2
